Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia E61,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia E61i,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia E62,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia E63,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia E65,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia E66,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia E700,Smartphone,Nokia,2010,Symbian3,95,EKA2,Symbian3  version 52,[empty]
Nokia E70,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia E71,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia E72,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia E73,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia E75,Smartphone,Nokia,2009,Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia E90 Communicator,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N70,Smartphone,Nokia,2005,Symbian OS,81a,[empty],S60 2nd Edition  Feature Pack 3  version 28,[empty]
Nokia N71,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N72,Smartphone,Nokia,2006,Symbian OS,81a,[empty],S60 2nd Edition  Feature Pack 3  version 28,[empty]
Nokia N73,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N75,Smartphone,Nokia,2007,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N76,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N77,Smartphone,Nokia,2007,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N78,Smartphone,Nokia,2008,Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia N79,Smartphone,Nokia,2008,Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia N8,Smartphone,Nokia,2010,Symbian3,95,EKA2,Symbian3  version 52,[empty]
Nokia N80,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N81,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N81 8GB,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N82,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N85,Smartphone,Nokia,2008,Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia N86 8MP,Smartphone,Nokia,2009,Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia N90,Smartphone,Nokia,2005,Symbian OS,81a,EKA1,S60 2nd Edition  Feature Pack 3  version 28,[empty]
Nokia N91,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N91 8GB,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N92,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N93,Smartphone,Nokia,2006,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N93i,Smartphone,Nokia,2007,Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia N95,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N95 8GB,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia N96,Smartphone,Nokia,2008,Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia N97,Smartphone,Nokia,2009,Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia N97 mini,Smartphone,Nokia,2009,Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia X500,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia X501,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia X600,Smartphone,Nokia,2009,Symbian1,94,EKA2,S60 5th Edition  version 5,First S60 capacative touchscreen
Nokia NGage,Smartphone and game console,Nokia,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Nokia NGage QD,Smartphone and game console,Nokia,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Panasonic X700,Smartphone,Panasonic,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Panasonic X800,Smartphone,Panasonic,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Samsung i8910,Smartphone,Samsung,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Samsung SGHD720,Smartphone,Samsung,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Samsung SGHD728,Smartphone,Samsung,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Samsung SGHD730,Smartphone,Samsung,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Samsung SGHG810,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi400,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi408,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi450,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi458,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi520,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi550,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi550w,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Samsung SGHi560,Smartphone,Samsung,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
