Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
RS-25 (SSME),[empty],Rocketdyne,Space Shuttle SLS,1st,[[Liquid hydrogen|LH2]]?/?LOX,(SL),(SL)<ref name="aerojet">Aerojet Rocketdyne  RS-25 Engine (accessed July 22  2014)</ref>,[empty],[empty],[empty],[empty]
RS-68A,[empty],Rocketdyne,Delta IV Delta IV Heavy,1st,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="RS-68A"></ref> (SL),(SL),[empty],[empty],date=June 2017}},[empty]
Rutherford,[empty],Rocket Lab,Electron,1st,RP-1?/?LOX,311,24.465 (SL),[empty],[empty],[empty],[empty]
Rutherford Vacuum,[empty],Rocket Lab,Electron,2nd,RP-1?/?LOX,343,24.465,[empty],[empty],[empty],[empty]
S200,[empty],SDSC,GSLV Mk III,Booster,HTPB,<ref name="isrolvm3"></ref>,<ref name="isros200"></ref><ref name="dnai3sb"></ref><ref></ref>,with fuel<ref name="isrolvm3" />,[empty],[empty],[empty]
SCE-200,[empty],LPSC,GSLV Mk III ULV,Upper  main,RP-1?/?LOX,(SL),(SL),[empty],[empty],[empty],[empty]
SLS Solid Rocket Booster,[empty],Orbital ATK,SLS,Booster,PBAN,[empty],[empty],with fuel,[empty],[empty],[empty]
SLV-1,[empty],Godrej & Boyce,PSLV,Booster,HTPB,<ref name="SLV-1"></ref>,[empty],with fuel,[empty],[empty],[empty]
SPT-100,[empty],OKB Fakel,LS-1300 satellites,Vacuum,Xenon,@1.35 kW,@1.35 kW,[empty],[empty],[empty],[empty]
SRB-A,[empty],IHI Aerospace JAXA,H-IIA,Booster,HTPB,<ref name="SRB-A"></ref>,[empty],with fuel,[empty],[empty],[empty]
SRB-A3,[empty],IHI Aerospace JAXA,H-IIB Epsilon,Booster,BP-207J<ref name="SRB-A3"></ref>,<ref name="SRB-A3" />,(SL),with fuel,[empty],[empty],[empty]
TQ-12<ref>“天鹊�?80�?�液氧甲烷�?�动机100%推力100秒试车圆满�?功</ref>,[empty],Landspace,ZQ-2,1st,[[Liquid methane|CH4]]?/?LOX,[empty],(SL),[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
VASIMR,[empty],Ad Astra Rocket Company,[empty],Vacuum,Argon,@200 kW,@200 kW,[empty],[empty],[empty],[empty]
Vikas (rocket engine),[empty],LPSC,[empty],2nd  main  booster,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,[empty],–804.500 –756.500 (SL),[empty],[empty],–58.5,[empty]
Vinci,[empty],Snecma,Ariane 6,Upper,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="Vinci_Astronautix"></ref>,[empty],[empty],[empty],[empty],[empty]
Vulcain 2,[empty],Snecma,Ariane 5,1st,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="Vulcain2_Astrium"></ref> (SL)<ref name="Vulcain2_Astronautix"></ref>,<ref name="Vulcain2_Astrium" /> (SL)<ref name="Vulcain2_Astronautix" />,<ref name="Vulcain2_Astrium" />,[empty],<ref name="Vulcain2_Astrium" />,[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
XIPS-25,[empty],Boeing,Boeing 702 satellites,Vacuum,Xenon,@4.5 kW,@4.5 kW,[empty],[empty],[empty],[empty]
YF-100,[empty],AALPT,[empty],Booster  1st,RP-1?/?LOX,<ref name=spacepac></ref> (SL),(SL),[empty],[empty],[empty],[empty]
YF-115,[empty],AALPT,[empty],2nd,RP-1?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
YF-21B,[empty],AALPT,[empty],Booster  1st,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,(SL)<ref name="casc-lm3a-2011"></ref>,(SL)<ref name="casc-lm3a-2011" />,[empty],[empty],[empty],[empty]
