+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
Big Creek,Concord,Ohio,1.466,1.292,174,23,5,2,102,[empty],September 28  2019,[added]
Wisp Ski Resort,McHenry,Maryland,3.115,2.145,700,132,34,12,100,$49,website=wispresort.com|access-date=2019-09-28}}</ref>,[added]
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12,5,45,$41,September 28  2019<ref></ref>,[added]
Mountain Creek,Vernon,New Jersey,1.490,450,1.040,167,46,9,65,$80,September 28  2019<ref></ref>,[added]
Big Rock,Presque Isle,Maine,1.590,670,920,60,27,3,100,$40,website=skicentral.com|access-date=2019-09-29}}</ref>,[added]
Big Squaw Mountain,Greenville,Maine,2.920,1.300,1.620,1.216,33,1,136,$30,September 29  2019<ref></ref>,[added]
Mount Jefferson,Lee,Maine,775,343,432,160,13,2,75,$25,September 29  2019<ref></ref>,[added]
New Hermon Mountain,Bangor,Maine,450,150,300,70,20,3,90,$35,September 29  2019<ref></ref>,[added]
Camden Snow Bowl,Camden,Maine,1.080,235,845,100,17,3,50,$33,access-date=2019-09-29}}</ref>,[added]
Powderhouse Hill,Portland,Maine,240,120,120,[empty],3,1,[empty],$5,September 29  2019<ref></ref>,[added]
Lost Valley,Lewiston,Maine,480,240,240,45,27,4,99,$60,September 29  2019,[added]
Shawnee Peak,Bridgton,Maine,[empty],[empty],1.300,245,44,6,110,$75,September 29  2019<ref></ref>,[added]
Sunday River,Newry,Maine,3.140,800,2.340,870,153,18,155,$109,website=sundayriver.com|access-date=2019-09-29}}</ref>,[added]
Ski Mount Abraham,Bethel,Maine,1.990,940,1.050,650,44,5,115,$49,September 29  2019<ref></ref>,[added]
Black Mountain of Maine,Lewiston,Maine,2.380,1.000,1.380,300,46,2,120,$45,September 29  2019<ref></ref>,[added]
Titcomb Mountain,Augusta,Maine,750,400,350,45,16,3,85,$17,September 29  2019<ref></ref>,[added]
Spruce Mountain Ski Slope,Jay,Maine,310,10,300,[empty],12,3,[empty],$25,September 29  2019<ref></ref>,[added]
Eaton Mountain,Waterville,Maine,840,220,620,130,18,2,72,$15,September 29  2019<ref></ref>,[added]
Baker Mountain,Bingham,Maine,[empty],[empty],460,[empty],5,1,[empty],[empty],September 29  2019,[added]
Blandford Ski Area,Blandford,Massachusetts,1.490,1.025,465,55,29,5,70,$45,September 29  2019<ref></ref>,[added]
Berkshire East,Greenfield,Massachusetts,1.720,540,1.180,180,45,6,120,$69,website=Berkshire East Mountain Resort|access-date=2019-09-29}}</ref>,[added]
Ski Butternut,Great Barrington,Massachusetts,1.764,645,1.119,110,22,10,115,$65,website=skibutternut.com|access-date=2019-09-29}}</ref>,[added]
Jiminy Peak,Pittsfield,Massachusetts,2.375,1.125,1.140,170,45,8,110,$84,September 29  2019<ref></ref>,[added]
Wachusett Mountain,Worcester,Massachusetts,2.006,1.006,1.000,110,22,7,100,$73,website=wachusett.com|access-date=2019-09-29}}</ref>,[added]
Nashoba Valley,Boston,Massachusetts,422,182,240,59,17,9,55,$60,September 29  2019<ref></ref>,[added]
Blue Hills Ski Area,Boston,Massachusetts,635,326,309,60,8,4,[empty],$45,website=skicentral.com|access-date=2019-09-29}}</ref>,[added]
Otis Ridge Ski Camp,Otis,Massachusetts,1.700,1.300,400,55,11,5,70,$40,September 29  2019<ref></ref>,[added]
Ski Bradford,Haverhill,Massachusetts,272,24,248,48,15,10,[empty],$58,access-date=2019-09-29}}</ref>,[added]
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9,6,80,$55,September 29  2019<ref></ref>,[added]
Bosquet Ski Area,Pittsfield,Massachusetts,1.818,1.068,750,200,23,5,83,$47,September 29  2019<ref></ref>,[added]
Chestnut Mountain,Galena,Illinois,1.020,600,420,220,19,9,34,$60,September 29  2019<ref></ref>,[added]
Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14,6,38,$41,September 29  2019<ref></ref>,[added]
Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7,6,24,$28,website=fourlakessnowsports|access-date=2019-09-29}}</ref>,[added]
Villa Olivia,Bartlett,Illinois,500,320,180,15,7,7,25,$40,September 29  2019<ref></ref>,[added]
Mount Crescent,Omaha,Iowa,1.500,1.200,300,50,11,2,30,$39,website=Mt. Crescent Ski Area|access-date=2019-09-29}}</ref>,[added]
Seven Oaks,Boone,Iowa,975,800,175,35,11,4,40,$40,September 29  2019<ref></ref>,[added]
Sleepy Hollows Sports Park,Des Moines,Iowa,938,800,138,80,8,2,[empty],$25,September 29  2019<ref></ref>,[added]
Sundown Mountain,Dubuque,Iowa,1.059,584,475,55,21,6,45,$46,September 29  2019<ref></ref>,[added]
Bryce Resort,Basye,Virginia,1.750,1.250,500,25,8,7,30,$67,September 29  2019<ref></ref>,[added]
Massanutten Resort,Harrisonburg,Virginia,2.925,1.750,1.110,70,13,7,35,$79,September 29  2019<ref></ref>,[added]
Homestead Resort,Hot Springs,Virginia,3.200,2.500,700,45,10,2,50,$35,September 29  2019,[added]
Canaan Valley Resort,Dryfork,West Virginia,4.280,3.430,850,91,39,4,150,$68,website=skicentral.com|access-date=2019-09-29}}</ref>,[added]
Winterplace,Ghent,West Virginia,3.600,2.997,603,90,28,9,100,$72,September 29  2019<ref></ref>,[added]
Oglebay Resort,Wheeling,West Virginia,[empty],[empty],168,[empty],1,1,[empty],$28,September 29  2019<ref></ref>,[added]
Cloudmont Resort,Mentone,Alabama,1.800,1.650,150,9,2,2,0,$40,September 29  2019<ref></ref>,[added]
Anthony Lakes,North Powder,Oregon,8.000,7.100,900,1.100,21,3,300,$40,September 29  2019<ref></ref>,[added]
Copper Spur,Hood River,Oregon,4.350,4.000,350,50,10,4,100,$39,September 29  2019<ref></ref>,[added]
Ferguson Ridge,Joseph,Oregon,5.840,5.200,640,170,8,2,300,$20,September 29  2019<ref></ref>,[added]
Hoodoo,Sisters,Oregon,5.703,4.668,1.035,806,32,5,360,$56,September 29  2019<ref></ref>,[added]
Mount Hood Skibowl,Government Camp,Oregon,5.027,3.500,1.527,960,65,9,300,$55,September 29  2019<ref></ref>,[added]
Spout Springs,Tollgate,Oregon,5.450,4.920,530,200,17,2,130,Closed Temporarily,September 29  2019,[added]
Summit Ski Area,Government Camp,Oregon,4.306,4.000,306,70,3,2,150,$38,September 29  2019<ref></ref>,[added]
Timberline Lodge,Government Camp,Oregon,8.540,4.850,3.620,1.430,35,9,540,$75,website=timberlinelodge.com|access-date=2019-09-29}}</ref>,[added]
Warner Canyon,Lake View,Oregon,6.003,5.271,732,200,21,1,50,$35,access-date=2019-09-29}}</ref>,[added]
Willamette Pass,Oakridge,Oregon,6.683,5.120,1.563,555,29,6,430,$60,September 29  2019<ref></ref>,[added]
Crested Butte,Crested Butte,Colorado,12.170,9.115,3.055,1.547,121,16,300,$113,September 30  2019<ref></ref>,[added]
Echo Mountain,Evergreen,Colorado,10.650,10.050,600,226,13,2,275,$55,September 30  2019<ref></ref>,[added]
Granby Ranch,Granby,Colorado,9.202,8.202,1000,406,40,5,220,$84,September 30  2019<ref></ref>,[added]
Hesperus,Durango,Colorado,8.888,8.200,688,60,26,1,150,$39,September 30  2019<ref></ref>,[added]
Howelson Hill,Steamboat Springs,Colorado,7.136,6.696,440,50,17,4,150,$30,website=steamboatsprings.net|access-date=2019-09-30}}</ref>,[added]
Kendall Mountain,Silverton,Colorado,9.540,9.300,240,16,11,1,200,$20,website=coloradodirectory.com|access-date=2019-09-30}}</ref>,[added]
Monarch,Salida,Colorado,11.960,10.790,1.170,800,63,5,400,$94,September 30  2019<ref></ref>,[added]
Powderhorn Resort,Grand Junction,Colorado,9.850,8.200,1.650,1.600,63,5,250,$71,September 30  2019<ref></ref>,[added]
Purgatory Resort,Durango,Colorado,10.822,8.793,2.029,1.200,85,10,260,$99,September 30  2019<ref></ref>,[added]
Silverton Mountain,Silverton,Colorado,13.487,10.400,3.087,1.819,48,1,450,$79,September 30  2019<ref></ref>,[added]
Sunlight Mountain,Glenwood Springs,Colorado,9.895,7.885,2.010,470,67,3,250,$55,September 30  2019<ref></ref>,[added]
Cranor Hill,Gunnison,Colorado,8.500,8.100,400,45,4,1,75,$17,September 30  2019<ref></ref>,[added]
Lake City,Lake City,Colorado,8.850,8.600,250,14,7,1,[empty],$20,September 30  2019<ref></ref>,[added]
Beaver Mountain,Logan,Utah,8.800,7.200,1.600,667,47,5,400,$50,September 30  2019<ref></ref>,[added]
Cherry Peak,Richmond,Utah,7.050,5.775,1.265,200,29,3,322,$40,September 30  2019<ref></ref>,[added]
Eagle Point,Beaver,Utah,10.600,9.100,1.500,650,40,5,400,$65,website=eaglepointresort.com|access-date=2019-09-30}}</ref>,[added]
Nordic Valley,Ogden,Utah,6.400,5.440,960,140,23,4,300,$45,September 30  2019<ref></ref>,[added]
Snowbasin,Huntsville,Utah,9.350,6.391,2.959,3.000,104,11,350,$99,website=snowbasin.com|access-date=2019-09-30}}</ref>,[added]
Solitude Mountain,Salt Lake City,Utah,10.488,7.988,2.500,1.200,80,8,500,$115,September 30  2019<ref></ref>,[added]
Sundance Mountain,Provo,Utah,8.250,6.100,2.150,450,44,5,320,$90,website=Sundance Mountain Resort|access-date=2019-09-30}}</ref>,[added]
Afton Alps,Afton,Minnesota,700,350,350,300,50,22,60,$28,October 1  2019<ref></ref>,[added]
Andes Tower Hills,Kensington,Minnesota,1.620,1.330,290,35,15,6,55,$45,October 1  2019<ref></ref>,[added]
Buck Hill,Burnsville,Minnesota,1.211,949,262,45,16,9,60,$47,October 1  2019<ref></ref>,[added]
Buena Vista Ski Area,Bemidji,Minnesota,1.510,1280,230,30,16,5,78,$44,October 1  2019<ref></ref>,[added]
Chester Bowl Park,Duluth,Minnesota,875,700,175,6,5,1,100,$15,website=chesterbowl.org|access-date=2019-10-01}}</ref>,[added]
Coffee Mill Ski Area,Wabasha,Minnesota,1.150,725,425,40,14,3,48,$37,October 1  2019,[added]
Detroit Mountain,Detroit Lakes,Minnesota,1.607,1.443,210,45,21,8,[empty],$42,October 1  2019<ref></ref>,[added]
Giants Ridge,Biwabik,Minnesota,1.972,1.472,500,202,35,7,85,$34,website=giantsridge.com|access-date=2019-10-01}}</ref>,[added]
Hyland Hills,Bloomington,Minnesota,1.075,900,175,35,13,6,60,$35.34,website=threeriversparks.org|access-date=2019-10-01}}</ref>,[added]
Lutsen Mountains,Lutsen,Minnesota,1.688,825,863,1.000,95,9,115,$86,website=lutsen.com|access-date=2019-10-01}}</ref>,[added]
Mount Itasca,Grand Rapids,Minnesota,[empty],[empty],[empty],[empty],[empty],[empty],[empty],$20,October 1  2019<ref></ref>,[added]
Mount Kato,Mankato,Minnesota,840,600,240,55,19,11,50,$49,October 1  2019<ref></ref>,[added]
Powder Ridge,Kimball,Minnesota,850,540,310,60,15,6,45,$50,access-date=2019-10-01}}</ref>,[added]
Mount Ski Gull,Nisswa,Minnesota,1.515,1.285,230,40,10,5,50,$39.99,October 1  2019<ref></ref>,[added]
Spirit Mountain,Duluth,Minnesota,1.298,620,678,175,22,8,90,$59,website=spiritmt.com|access-date=2019-10-01}}</ref>,[added]
Welch Village,Red Wing,Minnesota,1.060,700,360,140,60,11,45,$62,October 1  2019<ref></ref>,[added]
Wild Mountain,Taylors Falls,Minnesota,1.113,813,300,100,26,9,50,$56,website=wildmountain.com|access-date=2019-10-01}}</ref>,[added]
