Falcon 9 v1.1,[empty],SpaceX,<ref group="note">The SpaceX website lists the F9 payload to LEO as 13.150kg. The payload to GTO is listed as 4.850kg. However  SpaceX has stated that these numbers include a 30% margin to accommodate re-usability.</ref><ref name=spacex-falcon9-2014></ref>,<ref name="spacex-falcon9-2014"/>,[empty]
Feng Bao 1,[empty],Shanghai Bureau No.2,<ref>Feng Bao 1  part of CZ family</ref>,[empty],[empty]
GSLV Mk.I(a),[empty],ISRO,<ref name=GSLV-ISRO></ref>,<ref name=GSP-GSLV />,[empty]
GSLV Mk.I(b),[empty],ISRO,<ref name=GSLV-ISRO />,<ref name=GSP-GSLV />,[empty]
GSLV Mk.I(c),[empty],ISRO,<ref name=GSLV-ISRO />,[empty],[empty]
H-I,[empty],Mitsubishi,<ref></ref>,[empty],[empty]
H-II / IIS,[empty],Mitsubishi,<ref>astronautix.com  H-2 </ref>,<ref name="GSP-H2" />,[empty]
H-IIA 2022,[empty],Mitsubishi,[empty],<ref name="GSP-H2A"/>,[empty]
H-IIA 2024,[empty],Mitsubishi,<ref>astronautix.com H-IIA 2024 </ref>,<ref name="GSP-H2A"/>,[empty]
J-I,[empty],Nissan Motors<ref name=Nissan/>,<ref></ref>,[empty],[empty]
Kaituozhe-1,[empty],CALT,<ref>astronautix.com Kaituozhe-1  also called KY-1 </ref>,[empty],[empty]
Kosmos-3M,[empty],NPO Polyot,<ref></ref>,[empty],[empty]
Lambda 4S,[empty],Nissan Motors<ref name=Nissan></ref>,<ref name=ISAS/>,[empty],[empty]
Long March 1,[empty],CALT,<ref>astronautix.com  Long March 1  also called CZ-1</ref>,[empty],[empty]
Long March 1D,[empty],CALT,<ref>astronautix.com  Long March 1D (CZ-1D) </ref>,[empty],[empty]
[empty],[empty],CALT,<ref>astronautix.com Long March 2A – CZ-2A </ref>,[empty],[empty]
Long March 2E,[empty],CALT,<ref name=cz-2 />,[empty],[empty]
Long March 3,[empty],CALT,<ref name=cz-3 />,[empty],[empty]
Long March 3B,[empty],CALT,<ref name="LM3AUserManual" />,[empty],to SSO
Long March 4A,[empty],CALT,[empty],[empty],[empty]
M-V,[empty],<ref name=Nissan/> (1997–2000) <ref name=IHIAERO/> (2000–2006),<ref name=ISAS/>,[empty],[empty]
Molniya,[empty],RSC Energia,<ref>astronautix.com  Encyclopedia Astronautica  Molniya 8K78M </ref>,[empty],[empty]
Molniya-M,[empty],RSC Energia,<ref></ref>,[empty],[empty]
Mu-3C,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-3H,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-3S,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-3SII,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-4S,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS></ref>,[empty],[empty]
N1,[empty],NPO Energia,<ref group="note" name="N4"/> <ref name="refN1-1"/><ref name="refN1-2"/><ref name="refN1-3"/>,[empty],[empty]
N-I,[empty],Mitsubishi,<ref>astronautix.com  N-I- Delta </ref>,[empty],[empty]
N-II,[empty],Mitsubishi,<ref>astronautix.com  Encyclopedia Astronautica  N-2 </ref>,[empty],[empty]
Naro-1,[empty],KARI/Khrunichev,<ref></ref>,[empty],[empty]
Paektusan,[empty],KCST,<ref>Korea  By Christoph Bluth </ref>,[empty],[empty]
